Date,Electric_Consumption,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Factor_F
2023-01-01T00:00:00.000,0,1.242130162,28.41973861,13.72039652,79.8405997,0,2.386157046
2023-01-01T01:00:00.000,0,1.86128518,29.84075928,12.53766783,86.4249026,0,1.47325623
2023-01-01T02:00:00.000,0,4.212673807,32.7780358,9.408667247,72.08279292,0,1.583711127
2023-01-01T03:00:00.000,0,4.02525109,32.62470023,9.035600503,73.82570457,0,1.706655989
2023-01-01T04:00:00.000,-0.000266667,3.12265891,31.93124485,9.235501925,66.82395649,0,0.987048
2023-01-01T05:00:00.000,0.001105555,3.575538608,32.45184501,8.711381435,63.54421997,0,0.933944655
2023-01-01T06:00:00.000,3.011944421,3.154423332,31.02608776,9.775486787,90.36955897,0,20.90218651
2023-01-01T07:00:00.000,8.968811353,4.480241832,34.53628318,7.703163067,66.66284434,0,38.84666395
2023-01-01T08:00:00.000,14.56498345,3.77809074,37.50426992,6.924877485,126.9512768,0,52.89637121
2023-01-01T09:00:00.000,19.27992217,4.601427311,40.2281402,6.382427851,95.80379264,0,67.59111691
2023-01-01T10:00:00.000,19.70577256,5.158925784,41.16550001,6.124382575,167.1891003,0,81.80589358
2023-01-01T11:00:00.000,19.71301667,4.914400867,42.41308626,6.218531807,184.2187926,0,83.35578092
2023-01-01T12:00:00.000,19.47801097,4.707152514,43.14355628,5.988020937,156.2223314,0,93.13982455
2023-01-01T13:00:00.000,19.3064057,3.939534023,43.47013982,5.68794481,93.35118802,0,93.02392069
2023-01-01T14:00:00.000,18.90437237,3.422084583,43.74466451,5.541095098,109.2654845,0,74.74133746
2023-01-01T15:00:00.000,18.24457773,3.198985069,43.84368483,5.442415555,112.4296058,0,66.90851498
2023-01-01T16:00:00.000,16.94952758,3.640138041,43.79028511,5.437086701,207.4879246,0,61.71994432
2023-01-01T17:00:00.000,12.4098889,2.424851488,42.96682866,5.537643274,134.0614777,0,51.79060427
2023-01-01T18:00:00.000,4.903161238,2.128127761,41.60727183,6.066676974,165.4709511,0,36.97003508
2023-01-01T19:00:00.000,0.221738865,1.547789278,37.64083322,7.979301373,108.3818744,0,13.0463685
2023-01-01T20:00:00.000,0,2.067034816,34.06759199,9.879596233,111.0734919,0,2.206098258
2023-01-01T21:00:00.000,0,2.239433564,34.10933081,9.990770419,-20.59564972,0,0.471311579
2023-01-01T22:00:00.000,0,2.292261478,34.34239705,9.773240089,158.5134239,0,0.827892311
2023-01-01T23:00:00.000,0,2.69000156,34.45969645,9.893855572,203.9522285,0,0.648281538
2023-01-02T00:00:00.000,0,3.129848913,33.3727684,10.7607793,-285.2531846,0,0.80121814
2023-01-02T01:00:00.000,0,3.172892729,33.09001478,10.7733953,252.7545408,0,1.033489522
2023-01-02T02:00:00.000,0,1.169733673,29.56191635,13.07752728,160.0402466,0,1.71311531
2023-01-02T03:00:00.000,0,0.705518354,25.88772647,17.55275877,133.2577413,0,1.687898055
2023-01-02T04:00:00.000,0,1.05859754,24.8255523,19.59659561,163.2295189,0,1.901377579
2023-01-02T05:00:00.000,0.000833333,1.302242912,24.08638573,21.72538582,254.9674287,0,2.643577069
2023-01-02T06:00:00.000,2.743244487,1.794610775,25.83197769,21.76182222,238.0060933,0,21.8500526
2023-01-02T07:00:00.000,9.65917782,1.22316992,32.59183836,14.69512725,76.0900631,0,52.96176529
2023-01-02T08:00:00.000,14.283283,1.899098761,37.27118587,16.68005379,230.9644089,0,74.50271797
2023-01-02T09:00:00.000,18.56911691,3.305104911,39.30624135,17.55858596,224.9906451,0,93.59106509
2023-01-02T10:00:00.000,18.79496654,3.720174428,41.00213591,15.14412904,207.6940702,0,114.9840546
2023-01-02T11:00:00.000,15.1833113,3.332281527,41.41836516,13.71718407,198.3628171,0,185.4626274
2023-01-02T12:00:00.000,19.09443847,2.935888158,42.70888424,12.22285199,190.2130458,0,269.6239675
2023-01-02T13:00:00.000,16.82781943,2.681337091,43.60351626,10.90404455,211.1879285,0,261.5669212
2023-01-02T14:00:00.000,14.34578327,2.809899633,43.48073514,10.59590785,178.7098045,0,215.4016406
2023-01-02T15:00:00.000,11.79869203,3.418600954,43.3326842,10.71899462,212.939017,0,206.5724017
2023-01-02T16:00:00.000,16.82675004,3.183088509,44.03620529,10.58046055,206.0940959,0,140.8389181
2023-01-02T17:00:00.000,7.417822396,2.849126155,42.6176192,11.64073714,203.0606524,0,78.50898679
2023-01-02T18:00:00.000,1.648599972,4.581222402,39.15711943,16.57035828,218.020738,0,45.38294411
2023-01-02T19:00:00.000,0.100772225,3.660483485,37.06897132,20.4708875,219.4446793,0,11.62999918
2023-01-02T20:00:00.000,0,2.024266253,36.15290356,21.87791697,216.7258403,0,2.322319736
2023-01-02T21:00:00.000,0,2.211619012,34.99539375,23.6662213,232.282889,0,2.458339711
